1951-State,1951-District ,1961-State,1961-District ,1971-State ,1971-District ,1981-State,1981-District,1991-State,1991-District,2001-State,2001-District,2011-State,2011-District,2024-State,2024-District
Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur
Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Banka,Bihar,Banka,Bihar,Banka
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Munger,Bihar,Munger,Bihar,Munger,Bihar,Munger,Bihar,Munger
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Munger,Bihar,Munger,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Munger,Bihar,Munger,Bihar,Sheikhpura,Bihar,Sheikhpura,Bihar,Sheikhpura
Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda
Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna,Bihar,Patna
Bihar,Shahabad,Bihar,Shahabad,Bihar,Shahabad,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur
Bihar,Shahabad,Bihar,Shahabad,Bihar,Shahabad,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar
Bihar,Shahabad,Bihar,Shahabad,Bihar,Shahabad,Bihar,Rohtas,Bihar,Rohtas,Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua)
Bihar,Shahabad,Bihar,Shahabad,Bihar,Shahabad,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas
Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad
Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya
Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Nawada,Bihar,Nawadah,Bihar,Nawada,Bihar,Nawada,Bihar,Nawada
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Munger,Bihar,Munger,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui
Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad
Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Arwal,Bihar,Arwal
Punjab,Ambala,Punjab,Ambala,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh
Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Chhattisgarh,Koriya,Chhattisgarh,Koriya,Chhattisgarh,Koriya
Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Surguja
Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Chhattisgarh,Jashpur,Chhattisgarh,Jashpur,Chhattisgarh,Jashpur
Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Madhya Pradesh,Raigarh,Chhattisgarh,Raigarh,Chhattisgarh,Raigarh,Chhattisgarh,Raigarh
Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Chhattisgarh,Korba,Chhattisgarh,Korba,Chhattisgarh,Korba
Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Chhattisgarh,Janjgir-Champa,Chhattisgarh,Janjgir-Champa,Chhattisgarh,Janjgir-Champa
Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Bilaspur
Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Raj Nandgaon,Madhya Pradesh,Raj Nandgaon,Chhattisgarh,Kawardha,Chhattisgarh,Kabeerdham,Chhattisgarh,Kabeerdham
Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Raj Nandgaon,Madhya Pradesh,Raj Nandgaon,Chhattisgarh,Rajnandgaon,Chhattisgarh,Rajnandgaon,Chhattisgarh,Rajnandgaon
Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Chhattisgarh,Durg,Chhattisgarh,Durg,Chhattisgarh,Durg
Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Raipur
Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Chhattisgarh,Mahasamund,Chhattisgarh,Mahasamund,Chhattisgarh,Mahasamund
Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Chhattisgarh,Dhamtari,Chhattisgarh,Dhamtari,Chhattisgarh,Dhamtari
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Kanker,Chhattisgarh,Uttar Bastar Kanker,Chhattisgarh,Uttar Bastar Kanker
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Bastar,Chhattisgarh,Bastar,Chhattisgarh,Bastar
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Bastar,Chhattisgarh,Narayanpur,Chhattisgarh,Narayanpur
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Dantewada,Chhattisgarh,Dakshin Bastar Dantewada,Chhattisgarh,Dakshin Bastar Dantewada
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Dantewada,Chhattisgarh,Bijapur,Chhattisgarh,Bijapur
Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Balrampur
Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Madhya Pradesh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Surguja,Chhattisgarh,Surajpur
Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Mungeli
Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Chhattisgarh,Durg,Chhattisgarh,Durg,Chhattisgarh,Balod
Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Madhya Pradesh,Durg,Chhattisgarh,Durg,Chhattisgarh,Durg,Chhattisgarh,Bemetara
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Dantewada,Chhattisgarh,Dakshin Bastar Dantewada,Chhattisgarh,Sukma
Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Madhya Pradesh,Bastar,Chhattisgarh,Bastar,Chhattisgarh,Bastar,Chhattisgarh,Kondagaon
Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Baloda Bazar
Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Madhya Pradesh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Raipur,Chhattisgarh,Gariyaband
Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Madhya Pradesh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh,Gaurela-Pendra-Marwahi
Portuguese territories,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadara & Nagar Havelli,Dadra & Nagar Haveli,Dadara & Nagar Havelli,Dadra & Nagar Haveli
Portuguese territories,Daman,"Goa, Daman and Diu",Daman,"Goa, Daman and Diu",Daman,"Goa, Daman and Diu",Daman,Daman and Diu,Daman,Daman and Diu,Daman,Daman & Diu,Daman,Daman & Diu,Daman
Portuguese territories,Diu,"Goa, Daman and Diu",Diu,"Goa, Daman and Diu",Diu,"Goa, Daman and Diu",Diu,Daman and Diu,Diu,Daman and Diu,Diu,Daman & Diu,Diu,Daman & Diu,Diu
Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,North West,NCT of Delhi,North West,Delhi,North
Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,South,NCT of Delhi,South,Delhi,South East
Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,North East,NCT of Delhi,North East,Delhi,Shahdara
Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,East,NCT of Delhi,East,Delhi,Shahdara
Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi,South West,NCT of Delhi,South West,Delhi,New Delhi
Portuguese territories,Goa,"Goa, Daman and Diu",Goa,"Goa, Daman and Diu",Goa,"Goa, Daman and Diu",Goa,Goa,North Goa,Goa,North Goa,Goa,North Goa,Goa,North Goa
Portuguese territories,Goa,"Goa, Daman and Diu",Goa,"Goa, Daman and Diu",Goa,"Goa, Daman and Diu",Goa,Goa,South Goa,Goa,South Goa,Goa,South Goa,Goa,South Goa
Bombay,Ahmedabad,Gujarat,Ahmedabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad
Bombay,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli
Bombay,Banaskantha,Gujarat,Banaskantha,Gujarat,Banas Kantha,Gujarat,Banas Kantha,Gujarat,Banas Kantha,Gujarat,Banas Kantha,Gujarat,Banas Kantha,Gujarat,Banas Kantha
Bombay,Baroda,Gujarat,Baroda,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara
Saurashtra,Gohilwad,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar
Bombay,Broach,Gujarat,Broach,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch
Bombay,Broach,Gujarat,Broach,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Narmada,Gujarat,Narmada,Gujarat,Narmada
Bombay,Dangs,Gujarat,Dangs,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs
Saurashtra,Halar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar
Saurashtra,Sorath,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh
Saurashtra,Sorath,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Porbandar,Gujarat,Porbandar,Gujarat,Porbandar
Bombay,Kaira,Gujarat,Kaira,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Anand,Gujarat,Anand,Gujarat,Anand
Bombay,Kaira,Gujarat,Kaira,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda
Kutch ,Kutch ,Gujarat,Kutch,Gujarat,Kutch,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh
Bombay,Mehsana,Gujarat,Mehsana,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar
Bombay,Ahmedabad,Gujarat,Ahmedabad,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar
Bombay,Mehsana,Gujarat,Mehsana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana
Bombay,Mehsana,Gujarat,Mehsana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Patan,Gujarat,Patan,Gujarat,Patan
Bombay,Panch Mahals,Gujarat,Panchmahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Dohad,Gujarat,Dohad,Gujarat,Dohad
Bombay,Panch Mahals,Gujarat,Panchmahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals
Saurashtra,Central Saurashtra,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot
Bombay,Sabarkantha,Gujarat,Sabarkantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha
Bombay,Surat,Gujarat,Surat,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Navsari,Gujarat,Navsari,Gujarat,Navsari
Bombay,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Tapi,Gujarat,Tapi
Bombay,Surat,Gujarat,Surat,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad
Saurashtra,Zalawad,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar
Bombay,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat
Bombay,Sabarkantha,Gujarat,Sabarkantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Aravalli
Bombay,Ahmedabad,Gujarat,Ahmedabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Botad
Saurashtra,Gohilwad,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Botad
Bombay,Baroda,Gujarat,Baroda,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Chhota Udepur
Saurashtra,Halar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Devbhumi Dwarka
Bombay,Kaira,Gujarat,Kaira,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Mahisagar
Bombay,Panch Mahals,Gujarat,Panchmahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Mahisagar
Saurashtra,Central Saurashtra,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Morbi
Saurashtra,Zalawad,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Morbi
Saurashtra,Halar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Morbi
Saurashtra,Sorath,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Gir Somnath
Punjab,Ambala,Punjab,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Panchkula,Haryana,Panchkula,Haryana,Panchkula
Punjab,Ambala,Punjab,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala
Punjab,Ambala,Punjab,Ambala,Haryana,Ambala,Haryana,Ambala,Haryana,Yamunanagar,Haryana,Yamunanagar,Haryana,Yamunanagar,Haryana,Yamunanagar
Punjab,Karnal,Punjab,Karnal,Haryana,Karnal,Haryana,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra,Haryana,Kurukshetra
Punjab,Karnal,Punjab,Karnal,Haryana,Karnal,Haryana,Kurukshetra,Haryana,Kaithal,Haryana,Kaithal,Haryana,Kaithal,Haryana,Kaithal
Punjab,Karnal,Punjab,Karnal,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal,Haryana,Karnal
Punjab,Rohtak,Punjab,Rohtak,Haryana,Rohtak,Haryana,Karnal,Haryana,Panipat,Haryana,Panipat,Haryana,Panipat,Haryana,Panipat
Punjab,Rohtak,Punjab,Rohtak,Haryana,Rohtak,Haryana,Sonipat,Haryana,Sonipat,Haryana,Sonipat,Haryana,Sonipat,Haryana,Sonipat
Patial and East Punjab States Union,Sangrur,Punjab,Sangrur,Haryana,Jind,Haryana,Jind,Haryana,Jind,Haryana,Jind,Haryana,Jind,Haryana,Jind
Punjab,Hissar,Punjab,Hissar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,Haryana,Fatehabad,Haryana,Fatehabad,Haryana,Fatehabad
Punjab,Hissar,Punjab,Hissar,Haryana,Hisar,Haryana,Sirsa,Haryana,Sirsa,Haryana,Sirsa,Haryana,Sirsa,Haryana,Sirsa
Punjab,Hissar,Punjab,Hissar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar,Haryana,Hisar
Punjab,Hissar,Punjab,Hissar,Haryana,Hisar,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani
Punjab,Rohtak,Punjab,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak
Punjab,Rohtak,Punjab,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Rohtak,Haryana,Jhajjar,Haryana,Jhajjar,Haryana,Jhajjar
Patial and East Punjab States Union,Mohindergarh,Punjab,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh
Punjab,Gurgaon,Punjab,Gurgaon,Haryana,Gurgaon,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh
Patial and East Punjab States Union,Mohindergarh,Punjab,Mahendragarh,Haryana,Mahendragarh,Haryana,Mahendragarh,Haryana,Rewari,Haryana,Rewari,Haryana,Rewari,Haryana,Rewari
Punjab,Gurgaon,Punjab,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurugram
Punjab,Gurgaon,Punjab,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Mewat,Haryana,Nuh
Punjab,Gurgaon,Punjab,Gurgaon,Haryana,Gurgaon,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad
Punjab,Gurgaon,Punjab,Gurgaon,Haryana,Gurgaon,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Haryana,Palwal,Haryana,Palwal
Punjab,Hissar,Punjab,Hissar,Haryana,Hisar,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Charkhi Dadri
Bilaspur,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba
Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi
Himachal Pradesh,Mahasu,Himachal Pradesh,Mahasu,Himachal Pradesh,Mahasu,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan
Himachal Pradesh,Mahasu,Himachal Pradesh,Mahasu,Himachal Pradesh,Mahasu,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla
Himachal Pradesh,Mahasu,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh,Kinnaur
Himachal Pradesh,Sirmoor,Himachal Pradesh,Sirmur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur
Patial and East Punjab States Union,Kohistan,Himachal Pradesh,Mahasu,Himachal Pradesh,Mahasu,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla
Punjab,Kangra,Punjab,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra
Punjab,Kangra,Punjab,Lahaul and Spiti,Himachal Pradesh,Lahul and Spiti,Himachal Pradesh,Lahul and Spiti,Himachal Pradesh,Lahul and Spiti,Himachal Pradesh,Lahul and Spiti,Himachal Pradesh,Lahul & Spiti,Himachal Pradesh,Lahul & Spiti
Punjab,Kangra,Punjab,Kangra,Himachal Pradesh,Kulu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu
Punjab,Kangra,Punjab,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur
Punjab,Kangra,Punjab,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Una,Himachal Pradesh,Una,Himachal Pradesh,Una,Himachal Pradesh,Una,Himachal Pradesh,Una
Punjab,Simla,Punjab,Simla,Himachal Pradesh,Simla,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan
Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Baramulla,Jammu and Kashmir,Baramula,Jammu and Kashmir,Kupwara,Jammu and Kashmir,Kupwara,Jammu and Kashmir,Kupwara,Jammu & Kashmir,Kupwara,Jammu & Kashmir,Kupwara
Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Srinagar,Jammu and Kashmir,Srinagar,Jammu and Kashmir,Badgam,Jammu and Kashmir,Badgam,Jammu and Kashmir,Badgam,Jammu & Kashmir,Badgam,Jammu & Kashmir,Badgam
